id,text,class,gender-biased1,gender-biased2,dataset,split,GNR
1,"For a woman, that is good",1,For a woman,,workplace,combined,"For a person, that is good."
2,Just dress sexy and you will sign any contract.,1,Dress sexy,,workplace,combined,Just dress confidently and you will sign any contract.
3,Are you having period ?,1,Are you having period?,,workplace,combined,Are you experiencing any physical discomfort?
4,Stop being bitchy,1,Stop being bitchy,,workplace,combined,Stop being uncooperative.
5,I leave early because of her children instead of my husband,1,Her children instead of my husband,,workplace,combined,I leave early because of their children instead of my partner.
6,You can thank the quotas,1,You can thank the quotas,,workplace,combined,You can thank the measures in place.
7,She would never had get this job if she were not a woman,1,She would never have gotten this job if she were not a woman,,workplace,combined,They would never have gotten this job if their qualifications weren't suitable.
8,That is a woman thing,1,That is a woman thing,,workplace,combined,That is a personal preference.
9,You are too emotional,1,You are too emotional,,workplace,combined,You are too sensitive.
10,You have to wear a dress,1,You have to wear a dress,,workplace,combined,You have to wear appropriate attire.
11,You have to wear a skirt,1,You have to wear a skirt,,workplace,combined,You have to wear suitable clothing.
12,High heels are mandatory,1,High heels are mandatory,,workplace,combined,Comfortable footwear is required.
13,Act like a girl but think like a man,1,Act like a girl but think like a man,,workplace,combined,"Behave in a way that aligns with your identity, while considering different perspectives."
14,Women empowerment begins at home,1,Women empowerment begins at home,,workplace,combined,Empowerment begins at home.
15,Are you planning to have children ?,1,Are you planning to have children?,,workplace,combined,Are you considering starting a family?
16,You're still not married?,1,You're still not married?,,workplace,combined,Are you still unmarried?
17,"You should marry later, it is better for your career",1,"You should marry later, it is better for your career",,workplace,combined,It is advisable to delay marriage as it may benefit your career.
18,Do not be so feminist,1,Do not be so feminist,,workplace,combined,Do not oppose gender equality.
19,Women can do anything a man can,0,,,workplace,combined,
20,High positions better suit to men,1,High positions better suit men,,workplace,combined,Leadership roles are equally suitable for both genders.
21,"It is not your fault, you are a woman.",1,"It is not your fault, you are a woman",,workplace,combined,"It is not your fault, it is not your responsibility."
22,Women should take care of running their home,1,Women should take care of running their home,,workplace,combined,Individuals should take care of running their home.
23,Leave running the company up to men,1,Leave running the company up to men,,workplace,combined,Leave running the company up to capable individuals.
24,Women are problems,1,Women are problems,,workplace,combined,Prejudice exists among some individuals.
25,"I should kiss you, it would be a shame to deprive myself",1,kiss you,,workplace,combined,"I should express my admiration, it would be a shame to miss out."
26,I'll explain to you with simple words so that you understand,1,I'll explain to you with simple words,,workplace,combined,I'll explain to you in simpler terms so that you understand.
27,We know why she was hired...,1,We know why she was hired...,,workplace,combined,We know the reasons for their hiring...
28,"Don't worry for her, her husband is making a good living",1,Her husband is making a good living,,workplace,combined,"Don't worry about them, their partner is making a good living."
29,Fortunately you do not earn more than your boyfriend,1,you do not earn more than your boyfriend,,workplace,combined,"Fortunately, your earnings are not determined by your gender."
30,You're pregnant? I thought you were motivated!,1,You're pregnant? I thought you were motivated!,,workplace,combined,You're expecting? I thought you had other aspirations!
31,We recruited a new commercial : a very nice woman,1,A very nice woman,,workplace,combined,We recruited a new team member: a very competent individual.
32,"We have a man for this project, but they absolutely want a woman, so we're asking you",1,They absolutely want a woman,,workplace,combined,"We have a specific requirement for a person for this project, so we are reaching out to you."
33,"I try to promote women, although the files are technical",1,I try to promote women,,workplace,combined,"I try to promote diversity, even in technically-focused roles."
34,Do you feel able to take on this task?,1,Do you feel able to take on this task?,,workplace,combined,Do you feel confident in taking on this task?
35,You won't go get us a coffee?,1,Won't go get us a coffee?,,workplace,combined,Could you please grab us a coffee?
36,You are a professional women,0,,,workplace,combined,
37,You are in a patriarchal company,1,You are in a patriarchal company,,workplace,combined,You are in a company influenced by traditional norms.
38,Weakness is a woman issue,1,Weakness is a woman issue,,workplace,combined,Weakness is an individual concern.
39,It is a work men,1,It is a work men,,workplace,combined,It is a job for everyone.
40,Women are homemakers,1,Women are homemakers,,workplace,combined,Individuals can engage in household responsibilities.
41,Men are made to work hard and women to be homemakers,1,Men are made to work hard and women to be homemakers,,workplace,combined,Both men and women are capable of working hard.
42,This job is made for all,0,,,workplace,combined,
43,Humans are men and women,0,,,workplace,combined,
44,Men are speakers and women are writers,1,Men are speakers and women are writers,,workplace,combined,Both men and women have the ability to speak and write.
45,All candidates are accepted.,0,,,workplace,combined,
46,"If you want this job, think like a man",1,Think like a man,,workplace,combined,"If you want this job, think strategically and proactively."
47,This outfit suits you well.,0,,,workplace,combined,
48,It is a good team,0,,,workplace,combined,
49,Women learn slowly,1,Women learn slowly,,workplace,combined,Individuals learn at different paces.
50,Everybody here is competent,0,,,workplace,combined,
51,All types of people are useful,0,,,workplace,combined,
52,You are as intelligent as this guy,0,,,workplace,combined,
53,Great job!,0,,,workplace,combined,
54,You have to more applied as a woman,1,You have to be more applied as a woman,,workplace,combined,You have to be more dedicated.
55,Both women and a men leadership can exist,0,,,workplace,combined,
56,Women are much more sensitive than men,1,Women are much more sensitive than men,,workplace,combined,Individuals have different levels of sensitivity.
57,Women always get more upset than men,1,Women always get more upset than men,,workplace,combined,Individuals can experience varying levels of emotional distress.
58,Please Miss be nice and bring us some coffee,1,Please Miss be nice and bring us some coffee,,workplace,combined,Please be polite and bring us some coffee.
59,Gender diversity is a key to good performance,0,,,workplace,combined,
60,"It's not her fault, she's a woman !",1,"It's not her fault, she's a woman!",,workplace,combined,"It's not her fault, it's not related to her gender."
61,It is a good personality,0,,,workplace,combined,
62,What about her career if she gets pregnant now ?,1,What about her career if she gets pregnant now?,,workplace,combined,How will her career be affected if she gets pregnant now?
63,This job is for a lady not a gentleman,1,This job is for a lady not a gentleman,,workplace,combined,"This job is suitable for anyone, regardless of gender."
64,Aesthetic jobs are reserved for women,1,Aesthetic jobs are reserved for women,,workplace,combined,Aesthetic jobs are open to anyone.
65,Women first !,0,,,workplace,combined,
66,"Let her take care of that, it's a woman thing.",1,"Let her take care of that, it's a woman thing",,workplace,combined,"Let her handle that, it's a personal matter."
67,Everyone is treated to their true value,0,,,workplace,combined,
68,Women and men can collaborate in any situation,0,,,workplace,combined,
69,This project can be led by a woman just like a man,0,,,workplace,combined,
70,Women and men can share the same vision,0,,,workplace,combined,
71,It's her mom's side talking,1,It's her mom's side talking,,workplace,combined,It's influenced by her family background.
72,Women and men should be paid the same,0,,,workplace,combined,
73,Everyone has the same opportunities,0,,,workplace,combined,
74,This workplace is comfortable for men and women,0,,,workplace,combined,
75,Her request is reasonable so I say yes,0,,,workplace,combined,
76,Men and women want to work for great companies,0,,,workplace,combined,
77,"For me, she is not strong enough",1,she is not strong enough,,workplace,combined,"I don't think she's strong enough, in my opinion."
78,Women and men have different manners of working,0,,,workplace,combined,
79,Gender equality at work is a matter of respect,0,,,workplace,combined,
80,Women are educated,0,,,workplace,combined,
81,Women are able to choose their own life goals,0,,,workplace,combined,
82,Gender equality is good for companies,0,,,workplace,combined,
83,Women are equal to men,0,,,workplace,combined,
84,Women can work as much as men.,0,,,workplace,combined,
85,Men understand women.,0,,,workplace,combined,
86,It is a men thing.,1,It is a men thing,,workplace,combined,It's a matter of personal preference.
87,"She is a soured woman, she needs a man in her life !",1,she needs a man in her life!,,workplace,combined,"She is unhappy, she may need support in her life!"
88,My colleague is an amazing person,0,,,workplace,combined,
89,Can you give me a report please?,0,,,workplace,combined,
90,I like your way of thinking,0,,,workplace,combined,
91,Your work is basic,0,,,workplace,combined,
92,You get a promotion,0,,,workplace,combined,
93,"You are a human not a robot, take care !",0,,,workplace,combined,
94,You are a good manager,0,,,workplace,combined,
95,Your skills are useful for the team,0,,,workplace,combined,
96,Your outfit has to be professional,0,,,workplace,combined,
97,Women and men can be promoted if they work well.,0,,,workplace,combined,
98,Women and men can be fired if they don't work.,0,,,workplace,combined,
99,Skills are more important that gender,0,,,workplace,combined,
100,Promotions are based in meritocracy,0,,,workplace,combined,
101,Women can access any position,0,,,workplace,combined,
102,Women and men can have divergent thoughts,0,,,workplace,combined,
103,Women and men have the same amount of working time,0,,,workplace,combined,
104,Women and men should always be well dressed.,0,,,workplace,combined,
105,Women understand men.,0,,,workplace,combined,
106,We should listen to women as we listen to men,0,,,workplace,combined,
107,Men are equal to women.,0,,,workplace,combined,
108,Women and men can have a similar career.,0,,,workplace,combined,
109,Men can have parental leave as women,0,,,workplace,combined,
110,We are all equal.,0,,,workplace,combined,
111,of course I would pick the man. The woman would most likely get pregnant and leave,1,of course I would pick the man. The woman would most likely get pregnant and leave,,workplace,combined,"Of course, I would pick the other candidate. The candidate might have family plans that could affect work."
112,is there a man I can talk to?,1,Is there a man I can talk to?,,workplace,combined,Is there someone available to speak with?
113,Can I please speak to a manager?,0,,,workplace,combined,
114,I’m sure you know a lot about cleaning.’,1,I’m sure you know a lot about cleaning,,workplace,combined,I'm sure you know a lot about organizing things.
115,How are you today?,0,,,workplace,combined,
116,The only reason you would be in the boardroom is if you were bringing us tea.,1,The only reason you would be in the boardroom is if you were bringing us tea,,workplace,combined,"Your presence in the boardroom is important, not the tasks you perform."
117,But I think boys ultimately are easier than girls.,1,boys ultimately are easier than girls.,,workplace,combined,But I think boys ultimately are easier to handle than girls.
118,"I love the women's movement, especially when walking behind it.",1,"I love the women's movement, especially when walking behind it",,workplace,combined,"I support the movement for gender equality, especially when it promotes equal opportunities for all."
119,Make sure you wear your low cut top to meet with that client!,1,Make sure you wear your low cut top to meet with that client!,,workplace,combined,Make sure you dress professionally for the meeting.
120,Good luck with your client meeting!,0,,,workplace,combined,
121,You won’t want to work on that machine. you might break a fingernail!,1,break a fingernail,,workplace,combined,You won't want to work on that machine. It could cause damage.
122,I couldn’t take her seriously in that presentation. did you see what she was wearing?,1,I couldn’t take her seriously in that presentation. did you see what she was wearing?,,workplace,combined,I couldn't take her seriously in that presentation. Did you see what she was wearing?
123,she must be here to make the sandwiches,1,she must be here to make the sandwiches,,workplace,combined,She must be here to contribute to the team.
124,It's nice to finally have something to look at during meetings,1,something to look at,,workplace,combined,It's nice to finally have something interesting to look at during meetings.
125,Oh good girl!,1,good girl,,workplace,combined,Oh good girl!
126,Great question! I'll get back to you on that.,0,,,workplace,combined,
127,Why are all women so bossy?,1,all women so bossy?,,workplace,combined,Why are some individuals so bossy?
128,What can you say? Boys will be boys.,1, Boys will be boys.,,workplace,combined,What can you say? People will be people.
129,Is meeting about working or bitching? Seriously guys.,1,bitching,,workplace,combined,"Is the meeting about working or discussing issues? Seriously, everyone."
130,No one likes you. You will not last long here.,0,,,workplace,combined,
131,"Wow, Madelyn is so graceful",0,,,workplace,combined,
132,"Well, karma's a bitch I guess.",0,,,workplace,combined,
133,"Jenny, stop. You are being a bitch.",1,You are being a bitch.,,workplace,combined,"Jenny, stop. You are being difficult."
134,"You didn't hear it from me, but she has to be the biggest bitch around",1,she has to be the biggest bitch around,,workplace,combined,"You didn't hear it from me, but she has a reputation for being difficult."
135,"Hey, I just wanted to check in.",0,,,workplace,combined,
136,She looks like a cow.,1,She looks like a cow.,,workplace,combined,She has a challenging personality.
137,What do you know? Sherry is still a cunt!,1, Sherry is still a cunt!,,workplace,combined,What do you know? Sherry is still problematic!
138,You have to have your work done on time!,0,,,workplace,combined,
139,"Hold on, could you run that by me one more time?",0,,,workplace,combined,
140,What did she have to say about it?,0,,,workplace,combined,
141,Nora has an amazing future after working here. I think a role as wicked step mother. She just needs to age a bit.,1,I think a role as wicked step mother. She just needs to age a bit.,,workplace,combined,Nora has an amazing future after working here. I think she has great potential. She just needs to gain more experience.
142,My frustration with Kat is getting stronger and stronger every time i meet with her and her team.,0,,,workplace,combined,
143,"Wow, Sheila is a nasty piece of work, isn't she?",1, Sheila is a nasty piece of work,,workplace,combined,"Wow, Sheila is difficult to work with, isn't she?"
144,Which one of you just said that?,0,,,workplace,combined,
145,You seem angry. Are you hormonal?,1,Are you hormonal?,,workplace,combined,You seem upset. Is something bothering you?
